"","Pathway","N","n_affected_genes","fraction_affected","Mutated_samples","Fraction_mutated_samples"
"1","PI3K signaling",9,8,0.888888888888889,84,0.5
"2","Genome integrity",14,12,0.857142857142857,78,0.464285714285714
"3","Other",22,16,0.727272727272727,54,0.321428571428571
"4","RTK signaling",16,16,1,51,0.303571428571429
"5","Transcription factor",39,27,0.692307692307692,40,0.238095238095238
"6","MAPK signaling",9,7,0.777777777777778,31,0.18452380952381
"7","Chromatin SWI/SNF complex",8,7,0.875,24,0.142857142857143
"8","Cell cycle",8,5,0.625,23,0.136904761904762
"9","Protein homeostasis/ubiquitination",15,11,0.733333333333333,21,0.125
"10","Chromatin other",14,9,0.642857142857143,18,0.107142857142857
"11","Chromatin histone modifiers",15,14,0.933333333333333,18,0.107142857142857
"12","RNA abundance",15,9,0.6,15,0.0892857142857143
"13","Other signaling",28,20,0.714285714285714,13,0.0773809523809524
"14","Wnt/B-catenin signaling",8,6,0.75,12,0.0714285714285714
"15","Metabolism",2,2,1,9,0.0535714285714286
"16","Immune signaling",10,5,0.5,6,0.0357142857142857
"17","TGFB signaling",7,5,0.714285714285714,6,0.0357142857142857
"18","Histone modification",3,2,0.666666666666667,5,0.0297619047619048
"19","TOR signaling",3,2,0.666666666666667,5,0.0297619047619048
"20","NFKB signaling",2,2,1,4,0.0238095238095238
"21","Epigenetics DNA modifiers",1,1,1,3,0.0178571428571429
"22","Apoptosis",3,2,0.666666666666667,2,0.0119047619047619
"23","Splicing",6,3,0.5,1,0.00595238095238095
