"","Pathway","N","n_affected_genes","fraction_affected","Mutated_samples","Fraction_mutated_samples"
"1","PI3K signaling",9,9,1,143,0.5
"2","Genome integrity",14,11,0.785714285714286,110,0.384615384615385
"3","RTK signaling",16,10,0.625,91,0.318181818181818
"4","Other",22,14,0.636363636363636,66,0.230769230769231
"5","Transcription factor",39,21,0.538461538461538,47,0.164335664335664
"6","MAPK signaling",9,5,0.555555555555556,35,0.122377622377622
"7","Chromatin histone modifiers",15,10,0.666666666666667,33,0.115384615384615
"8","Other signaling",28,13,0.464285714285714,28,0.0979020979020979
"9","Cell cycle",8,4,0.5,26,0.0909090909090909
"10","Chromatin SWI/SNF complex",8,6,0.75,26,0.0909090909090909
"11","Chromatin other",14,8,0.571428571428571,23,0.0804195804195804
"12","Protein homeostasis/ubiquitination",15,9,0.6,19,0.0664335664335664
"13","Metabolism",2,1,0.5,18,0.0629370629370629
"14","Histone modification",3,2,0.666666666666667,8,0.027972027972028
"15","RNA abundance",15,4,0.266666666666667,7,0.0244755244755245
"16","Immune signaling",10,3,0.3,6,0.020979020979021
"17","Wnt/B-catenin signaling",8,3,0.375,5,0.0174825174825175
"18","NFKB signaling",2,1,0.5,4,0.013986013986014
"19","TGFB signaling",7,4,0.571428571428571,4,0.013986013986014
"20","TOR signaling",3,2,0.666666666666667,3,0.0104895104895105
"21","Splicing",6,3,0.5,3,0.0104895104895105
"22","Apoptosis",3,1,0.333333333333333,2,0.00699300699300699
