"","Pathway","N","n_affected_genes","fraction_affected","Mutated_samples","Fraction_mutated_samples"
"1","Chromatin SWI/SNF complex",8,2,0.25,41,0.112637362637363
"2","Genome integrity",14,2,0.142857142857143,27,0.0741758241758242
"3","Other",22,3,0.136363636363636,25,0.0686813186813187
"4","Transcription factor",39,3,0.0769230769230769,19,0.0521978021978022
"5","Protein homeostasis/ubiquitination",15,2,0.133333333333333,17,0.0467032967032967
"6","Chromatin other",14,1,0.0714285714285714,9,0.0247252747252747
"7","Chromatin histone modifiers",15,2,0.133333333333333,9,0.0247252747252747
"8","Other signaling",28,1,0.0357142857142857,5,0.0137362637362637
"9","Histone modification",3,1,0.333333333333333,5,0.0137362637362637
"10","RNA abundance",15,2,0.133333333333333,5,0.0137362637362637
"11","MAPK signaling",9,1,0.111111111111111,4,0.010989010989011
"12","Wnt/B-catenin signaling",8,1,0.125,2,0.00549450549450549
