"","Pathway","N","n_affected_genes","fraction_affected","Mutated_samples","Fraction_mutated_samples"
"1","Chromatin SWI/SNF complex",8,2,0.25,19,0.118012422360248
"2","Genome integrity",14,2,0.142857142857143,16,0.0993788819875776
"3","Transcription factor",39,3,0.0769230769230769,14,0.0869565217391304
"4","Other",22,3,0.136363636363636,13,0.0807453416149068
"5","Protein homeostasis/ubiquitination",15,2,0.133333333333333,11,0.0683229813664596
"6","Chromatin histone modifiers",15,2,0.133333333333333,7,0.0434782608695652
"7","RNA abundance",15,1,0.0666666666666667,4,0.0248447204968944
"8","Chromatin other",14,1,0.0714285714285714,4,0.0248447204968944
"9","MAPK signaling",9,1,0.111111111111111,4,0.0248447204968944
"10","Other signaling",28,1,0.0357142857142857,3,0.0186335403726708
"11","Histone modification",3,1,0.333333333333333,3,0.0186335403726708
"12","Wnt/B-catenin signaling",8,1,0.125,2,0.0124223602484472
