"","Pathway","N","n_affected_genes","fraction_affected","Mutated_samples","Fraction_mutated_samples"
"1","PI3K signaling",9,9,1,229,0.5
"2","Genome integrity",14,14,1,190,0.414847161572052
"3","RTK signaling",16,16,1,143,0.312227074235808
"4","Other",22,19,0.863636363636364,121,0.264192139737991
"5","Transcription factor",39,29,0.743589743589744,87,0.189956331877729
"6","MAPK signaling",9,7,0.777777777777778,66,0.14410480349345
"7","Chromatin histone modifiers",15,14,0.933333333333333,51,0.111353711790393
"8","Chromatin SWI/SNF complex",8,7,0.875,50,0.109170305676856
"9","Cell cycle",8,5,0.625,49,0.106986899563319
"10","Chromatin other",14,11,0.785714285714286,41,0.0895196506550218
"11","Other signaling",28,22,0.785714285714286,41,0.0895196506550218
"12","Protein homeostasis/ubiquitination",15,11,0.733333333333333,40,0.0873362445414847
"13","Metabolism",2,2,1,27,0.0589519650655022
"14","RNA abundance",15,11,0.733333333333333,22,0.0480349344978166
"15","Wnt/B-catenin signaling",8,7,0.875,18,0.0393013100436681
"16","Histone modification",3,2,0.666666666666667,13,0.0283842794759825
"17","Immune signaling",10,5,0.5,12,0.0262008733624454
"18","TGFB signaling",7,6,0.857142857142857,10,0.0218340611353712
"19","TOR signaling",3,2,0.666666666666667,8,0.0174672489082969
"20","NFKB signaling",2,2,1,8,0.0174672489082969
"21","Apoptosis",3,2,0.666666666666667,4,0.00873362445414847
"22","Splicing",6,4,0.666666666666667,4,0.00873362445414847
"23","Epigenetics DNA modifiers",1,1,1,3,0.00655021834061135
