"","Hugo_Symbol","n_pts","n_tumor_samples"
"1","A1BG",2,2
"2","A1CF",6,8
"3","A2M",4,5
"4","A2ML1",2,2
"5","A3GALT2",1,1
"6","A4GALT",3,4
"7","A4GNT",2,2
"8","AAAS",3,3
"9","AACS",4,6
"10","AADAC",2,2
"11","AADACL2",3,4
"12","AADACL3",4,4
"13","AADACL4",5,6
"14","AADAT",2,2
"15","AAK1",1,1
"16","AAMDC",1,1
"17","AAMP",2,2
"18","AANAT",2,2
"19","AAR2",1,1
"20","AARS1",2,3
"21","AARS2",3,3
"22","AASDH",4,4
"23","AASDHPPT",2,2
"24","AASS",3,3
"25","AATF",2,2
"26","AATK",2,2
"27","ABAT",2,2
"28","ABCA1",7,7
"29","ABCA10",4,5
"30","ABCA12",5,5
"31","ABCA13",11,14
"32","ABCA2",4,5
"33","ABCA3",3,3
"34","ABCA4",8,9
"35","ABCA5",6,7
"36","ABCA6",6,7
"37","ABCA7",5,5
"38","ABCA8",6,7
"39","ABCA9",6,9
"40","ABCB1",8,10
"41","ABCB10",2,3
"42","ABCB11",7,9
"43","ABCB4",13,16
"44","ABCB5",6,8
"45","ABCB6",3,3
"46","ABCB7",2,2
"47","ABCB8",4,6
"48","ABCB9",1,1
"49","ABCC1",5,5
"50","ABCC10",7,8
"51","ABCC11",5,6
"52","ABCC12",4,4
"53","ABCC2",3,3
"54","ABCC3",5,5
"55","ABCC4",7,8
"56","ABCC5",9,12
"57","ABCC6",3,3
"58","ABCC8",7,9
"59","ABCC9",14,16
"60","ABCD1",4,4
"61","ABCD2",5,6
"62","ABCD3",3,4
"63","ABCD4",1,1
"64","ABCE1",2,2
"65","ABCF1",3,4
"66","ABCF2",2,2
"67","ABCF3",3,4
"68","ABCG1",5,6
"69","ABCG2",7,7
"70","ABCG4",5,6
"71","ABCG5",4,5
"72","ABCG8",3,3
"73","ABHD1",1,1
"74","ABHD10",3,3
"75","ABHD11",3,3
"76","ABHD12",1,1
"77","ABHD14A-ACY1",2,2
"78","ABHD15",1,1
"79","ABHD16A",2,2
