"","Hugo_Symbol","n_pts","n_tumor_samples"
"1","ABCB7",2,2
"2","ABCD1",4,4
"3","ACE2",3,4
"4","ACOT9",2,2
"5","ACSL4",4,5
"6","ACTRT1",6,7
"7","ADGRG2",3,3
"8","ADGRG4",10,12
"9","AFF2",11,13
"10","AGTR2",2,2
"11","AIFM1",2,2
"12","AKAP14",1,1
"13","AKAP17A",4,4
"14","AKAP4",2,2
"15","AL133500.1",3,3
"16","AL353804.4",4,4
"17","AL353804.6",4,4
"18","AL353804.7",5,5
"19","ALAS2",1,1
"20","ALG13",6,6
"21","AMELX",3,3
"22","AMER1",2,2
"23","AMMECR1",1,1
"24","AMOT",3,3
"25","ANOS1",3,3
"26","APLN",1,1
"27","APOO",1,1
"28","APOOL",1,1
"29","AR",4,4
"30","ARAF",1,1
"31","ARHGAP36",2,2
"32","ARHGAP4",3,3
"33","ARHGAP6",7,8
"34","ARHGEF6",2,2
"35","ARHGEF9",3,4
"36","ARL13A",2,2
"37","ARMCX1",2,2
"38","ARMCX2",4,5
"39","ARMCX3",2,2
"40","ARMCX5",1,1
"41","ARMCX5-GPRASP2",5,6
"42","ARR3",1,1
"43","ARSD",5,7
"44","ARSF",7,9
"45","ARSH",3,3
"46","ARSL",5,5
"47","ASB11",1,2
"48","ASB9",2,2
"49","ASMT",3,3
"50","ASMTL",1,1
"51","ATP11C",4,6
"52","ATP1B4",2,2
"53","ATP2B3",7,8
"54","ATP6AP1",1,1
"55","ATP6AP2",1,1
"56","ATP7A",5,5
"57","ATRX",35,40
"58","ATXN3L",2,2
"59","AVPR2",1,1
"60","AWAT1",2,2
"61","AWAT2",2,2
"62","BCLAF3",3,4
"63","BCOR",12,15
"64","BCORL1",5,6
"65","BEND2",3,3
"66","BEX1",1,1
"67","BEX2",1,1
"68","BEX4",1,1
"69","BEX5",1,1
"70","BGN",1,1
"71","BMP15",3,4
"72","BMX",4,4
"73","BRCC3",1,1
"74","BRS3",3,5
"75","BRWD3",7,8
"76","BTK",3,3
"77","C1GALT1C1",2,3
"78","CA5B",2,3
"79","CACNA1F",5,5
"80","CAPN6",4,5
"81","CASK",3,4
"82","CBLL2",1,1
"83","CCDC22",3,4
"84","CCNB3",4,4
"85","CD40LG",1,1
"86","CD99",1,1
"87","CD99L2",1,1
