"","Hugo_Symbol","gender","n_pts","n_tumor_samples"
"1","ABCB7","female",2,2
"2","ABCD1","female",4,4
"3","ACE2","female",3,4
"4","ACOT9","female",2,2
"5","ACSL4","female",4,5
"6","ACTRT1","female",3,3
"7","ACTRT1","male",3,4
"8","ADGRG2","female",3,3
"9","ADGRG4","female",8,10
"10","ADGRG4","male",2,2
"11","AFF2","female",6,7
"12","AFF2","male",5,6
"13","AGTR2","female",1,1
"14","AGTR2","male",1,1
"15","AIFM1","female",2,2
"16","AKAP14","female",1,1
"17","AKAP17A","female",2,2
"18","AKAP17A","male",2,2
"19","AKAP4","female",1,1
"20","AKAP4","male",1,1
"21","AL133500.1","female",1,1
"22","AL133500.1","male",2,2
"23","AL353804.4","female",4,4
"24","AL353804.6","female",2,2
"25","AL353804.6","male",2,2
"26","AL353804.7","female",2,2
"27","AL353804.7","male",3,3
"28","ALAS2","female",1,1
"29","ALG13","female",6,6
"30","AMELX","female",2,2
"31","AMELX","male",1,1
"32","AMER1","female",2,2
"33","AMMECR1","female",1,1
"34","AMOT","female",3,3
"35","ANOS1","female",3,3
"36","APLN","female",1,1
"37","APOO","female",1,1
"38","APOOL","female",1,1
"39","AR","female",3,3
"40","AR","male",1,1
"41","ARAF","male",1,1
"42","ARHGAP36","female",2,2
"43","ARHGAP4","female",1,1
"44","ARHGAP4","male",2,2
"45","ARHGAP6","female",5,6
"46","ARHGAP6","male",2,2
"47","ARHGEF6","female",2,2
"48","ARHGEF9","female",3,4
"49","ARL13A","female",2,2
"50","ARMCX1","female",1,1
"51","ARMCX1","male",1,1
"52","ARMCX2","female",2,3
"53","ARMCX2","male",2,2
"54","ARMCX3","female",2,2
"55","ARMCX5","female",1,1
"56","ARMCX5-GPRASP2","female",3,3
"57","ARMCX5-GPRASP2","male",2,3
"58","ARR3","female",1,1
"59","ARSD","female",5,7
"60","ARSF","female",6,7
"61","ARSF","male",1,2
"62","ARSH","female",2,2
"63","ARSH","male",1,1
"64","ARSL","female",4,4
"65","ARSL","male",1,1
"66","ASB11","female",1,2
"67","ASB9","female",2,2
"68","ASMT","female",2,2
"69","ASMT","male",1,1
"70","ASMTL","male",1,1
"71","ATP11C","female",2,3
"72","ATP11C","male",2,3
"73","ATP1B4","female",2,2
"74","ATP2B3","female",6,7
"75","ATP2B3","male",1,1
"76","ATP6AP1","female",1,1
"77","ATP6AP2","female",1,1
"78","ATP7A","female",5,5
"79","ATRX","female",17,18
"80","ATRX","male",18,22
"81","ATXN3L","female",2,2
"82","AVPR2","male",1,1
"83","AWAT1","female",2,2
"84","AWAT2","female",2,2
"85","BCLAF3","female",3,4
"86","BCOR","female",8,10
"87","BCOR","male",4,5
"88","BCORL1","female",3,4
"89","BCORL1","male",2,2
"90","BEND2","female",3,3
"91","BEX1","female",1,1
"92","BEX2","female",1,1
"93","BEX4","female",1,1
"94","BEX5","female",1,1
"95","BGN","female",1,1
"96","BMP15","female",2,2
"97","BMP15","male",1,2
"98","BMX","female",4,4
"99","BRCC3","male",1,1
"100","BRS3","female",3,5
"101","BRWD3","female",5,6
"102","BRWD3","male",2,2
"103","BTK","female",2,2
"104","BTK","male",1,1
"105","C1GALT1C1","female",1,1
"106","C1GALT1C1","male",1,2
"107","CA5B","female",2,3
"108","CACNA1F","female",5,5
"109","CAPN6","female",3,3
"110","CAPN6","male",1,2
"111","CASK","female",3,4
"112","CBLL2","female",1,1
"113","CCDC22","female",3,4
"114","CCNB3","female",4,4
"115","CD40LG","female",1,1
"116","CD99","female",1,1
"117","CD99L2","male",1,1
"118","CDK16","female",1,1
"119","CDKL5","female",8,8
"120","CDR1","female",1,2
"121","CDX4","female",3,4
"122","CDX4","male",2,2
"123","CENPI","female",4,4
"124","CFAP47","female",12,14
"125","CFAP47","male",7,9
"126","CFP","female",2,2
"127","CFP","male",1,1
"128","CHIC1","female",1,1
"129","CHM","female",2,2
"130","CHM","male",1,2
"131","CHRDL1","female",2,2
"132","CHRDL1","male",1,1
"133","CHST7","female",1,1
"134","CITED1","female",1,1
"135","CITED1","male",1,1
"136","CLCN4","female",2,3
"137","CLCN4","male",1,1
"138","CLCN5","female",2,2
"139","CLDN2","female",2,2
"140","CLTRN","female",1,1
"141","CNGA2","female",4,5
"142","CNKSR2","female",3,4
"143","COL4A5","female",4,4
"144","COL4A5","male",1,1
"145","COL4A6","female",9,9
"146","CPXCR1","female",4,4
"147","CRLF2","female",3,3
"148","CRLF2","male",2,3
"149","CSAG1","female",1,2
"150","CSAG3","female",1,1
"151","CSF2RA","female",3,3
"152","CSF2RA","male",3,5
"153","CSTF2","female",3,4
"154","CT55","female",1,1
"155","CT55","male",1,2
"156","CT83","female",2,2
"157","CTPS2","female",1,1
"158","CUL4B","female",2,2
"159","CXCR3","female",2,2
"160","CXorf21","female",1,1
"161","CXorf21","male",1,1
"162","CXorf38","female",1,1
"163","CXorf56","female",2,2
"164","CXorf58","female",2,2
"165","CXorf65","female",2,2
"166","CXorf66","female",2,2
"167","CYBB","female",2,2
"168","CYBB","male",1,1
"169","CYLC1","female",1,1
"170","CYSLTR1","female",1,1
"171","DACH2","female",1,1
"172","DACH2","male",1,1
"173","DCAF12L1","female",5,5
"174","DCAF12L1","male",2,3
"175","DCAF12L2","female",2,2
"176","DCAF12L2","male",6,6
"177","DCAF8L1","female",6,6
"178","DCX","female",4,6
"179","DDX3X","male",1,1
"180","DDX53","female",1,2
"181","DENND10P1","female",2,2
"182","DGAT2L6","female",2,2
"183","DGKK","female",4,7
"184","DGKK","male",1,1
"185","DIAPH2","female",4,5
"186","DIAPH2","male",1,2
"187","DKC1","female",5,6
"188","DLG3","female",1,1
"189","DMD","female",9,11
"190","DMD","male",6,9
"191","DNASE1L1","female",2,2
"192","DOCK11","female",4,4
"193","DRP2","female",3,5
"194","DUSP21","female",2,2
"195","DUSP9","female",3,3
"196","EDA2R","female",1,1
"197","EFHC2","female",3,3
"198","EFNB1","female",1,1
"199","EGFL6","female",3,3
"200","EGFL6","male",1,2
"201","EIF1AX","female",1,1
"202","EIF2S3","female",2,2
"203","EIF2S3","male",2,3
"204","ELF4","female",1,1
"205","ELF4","male",3,3
"206","ELK1","female",2,3
"207","ENOX2","female",3,3
"208","EOLA1","female",1,1
"209","ERAS","female",1,1
"210","ERCC6L","female",6,6
"211","ERCC6L","male",1,1
"212","ESX1","female",2,3
"213","ESX1","male",1,1
"214","EZHIP","female",1,1
"215","F8","female",8,10
"216","F8","male",1,1
"217","F9","female",3,3
"218","F9","male",3,5
"219","FAM120C","female",2,2
"220","FAM122B","female",1,1
"221","FAM133A","male",1,1
"222","FAM155B","female",1,1
"223","FAM199X","female",1,1
"224","FAM47A","female",5,7
"225","FAM47A","male",5,5
"226","FAM47B","female",4,6
"227","FAM47B","male",3,4
"228","FAM47C","female",6,8
"229","FAM47C","male",3,3
"230","FAM9A","female",3,3
"231","FAM9B","female",1,1
"232","FANCB","female",1,1
"233","FANCB","male",1,1
"234","FATE1","female",4,4
"235","FGD1","female",4,5
"236","FGD1","male",1,1
"237","FGF13","male",1,1
"238","FGF16","female",1,2
"239","FHL1","female",3,3
"240","FLNA","female",9,10
"241","FLNA","male",5,6
"242","FMR1","female",1,1
"243","FMR1NB","female",2,2
"244","FMR1NB","male",1,2
"245","FOXO4","female",1,1
"246","FOXP3","female",4,4
"247","FOXR2","female",3,3
"248","FOXR2","male",3,4
"249","FRMD7","female",3,3
"250","FRMD7","male",5,6
"251","FRMPD3","female",4,5
"252","FRMPD3","male",1,2
"253","FRMPD4","female",10,10
"254","FRMPD4","male",1,2
"255","FTHL17","female",2,3
"256","FTHL17","male",1,1
"257","FTSJ1","female",1,1
"258","FTSJ1","male",1,2
"259","FUNDC1","female",1,1
"260","G6PD","female",4,5
"261","GAB3","female",1,1
"262","GABRA3","female",1,1
"263","GABRA3","male",2,2
"264","GABRE","female",3,4
"265","GABRE","male",4,5
"266","GABRQ","female",3,4
"267","GABRQ","male",1,2
"268","GAGE2E","female",1,1
"269","GATA1","female",1,1
"270","GATA1","male",1,1
"271","GCNA","female",5,5
"272","GCNA","male",1,1
"273","GDI1","female",1,1
"274","GDPD2","female",1,1
"275","GDPD2","male",1,1
"276","GEMIN8","female",2,2
"277","GJB1","female",2,2
"278","GK","female",1,1
"279","GLRA2","female",3,3
"280","GLRA4","male",1,1
"281","GLUD2","female",3,4
"282","GLUD2","male",2,2
"283","GNL3L","female",1,1
"284","GPC3","male",1,1
"285","GPC4","female",3,3
"286","GPKOW","female",1,2
"287","GPR101","female",2,2
"288","GPR119","female",1,1
"289","GPR143","female",3,4
"290","GPR173","female",1,1
"291","GPR174","female",4,4
"292","GPR174","male",1,1
"293","GPR34","female",2,2
"294","GPR34","male",1,1
"295","GPR50","female",3,3
"296","GPR50","male",1,1
"297","GPR82","female",1,1
"298","GPRASP1","female",2,2
"299","GPRASP2","female",3,3
"300","GRIA3","female",5,6
"301","GRIA3","male",2,3
"302","GRIPAP1","female",5,5
"303","GRPR","female",2,3
"304","GRPR","male",1,2
"305","GSPT2","female",3,3
"306","GTPBP6","female",1,1
"307","GTPBP6","male",2,3
"308","GUCY2F","female",3,4
"309","GYG2","female",2,2
"310","GYG2","male",1,1
"311","H2AP","female",1,2
"312","H2BW1","female",2,2
"313","HAUS7","female",3,3
"314","HCCS","female",2,3
"315","HCFC1","female",1,1
"316","HDAC6","female",2,2
"317","HDAC8","female",3,3
"318","HDAC8","male",1,1
"319","HDX","female",3,3
"320","HEPH","female",2,2
"321","HEPH","male",2,3
"322","HMGB3","female",1,1
"323","HNRNPH2","female",2,2
"324","HS6ST2","female",1,1
"325","HTATSF1","female",1,1
"326","HTR2C","female",6,7
"327","HTR2C","male",1,1
"328","HUWE1","female",9,12
"329","HUWE1","male",3,3
"330","IDH3G","female",1,1
"331","IGBP1","female",1,1
"332","IGSF1","female",2,3
"333","IGSF1","male",1,1
"334","IL13RA1","female",1,1
"335","IL13RA2","female",1,1
"336","IL13RA2","male",2,2
"337","IL1RAPL1","female",3,3
"338","IL1RAPL2","female",3,3
"339","IL1RAPL2","male",4,5
"340","IL2RG","female",3,3
"341","IL2RG","male",3,3
"342","IL3RA","female",1,1
"343","IL3RA","male",2,3
"344","IL9R","female",1,1
"345","INTS6L","female",6,9
"346","INTS6L","male",1,1
"347","IQSEC2","female",2,2
