"","Hugo_Symbol","n_pts","n_tumor_samples"
"1","ABCB7",2,2
"2","ABCD1",4,4
"3","ACE2",3,4
"4","ACOT9",2,2
"5","ACSL4",4,5
"6","ACTRT1",3,3
"7","ADGRG2",3,3
"8","ADGRG4",8,10
"9","AFF2",6,7
"10","AGTR2",1,1
"11","AIFM1",2,2
"12","AKAP14",1,1
"13","AKAP17A",2,2
"14","AKAP4",1,1
"15","AL133500.1",1,1
"16","AL353804.4",4,4
"17","AL353804.6",2,2
"18","AL353804.7",2,2
"19","ALAS2",1,1
"20","ALG13",6,6
"21","AMELX",2,2
"22","AMER1",2,2
"23","AMMECR1",1,1
"24","AMOT",3,3
"25","ANOS1",3,3
"26","APLN",1,1
"27","APOO",1,1
"28","APOOL",1,1
"29","AR",3,3
"30","ARHGAP36",2,2
"31","ARHGAP4",1,1
"32","ARHGAP6",5,6
"33","ARHGEF6",2,2
"34","ARHGEF9",3,4
"35","ARL13A",2,2
"36","ARMCX1",1,1
"37","ARMCX2",2,3
"38","ARMCX3",2,2
"39","ARMCX5",1,1
"40","ARMCX5-GPRASP2",3,3
"41","ARR3",1,1
"42","ARSD",5,7
"43","ARSF",6,7
"44","ARSH",2,2
"45","ARSL",4,4
"46","ASB11",1,2
"47","ASB9",2,2
"48","ASMT",2,2
"49","ATP11C",2,3
"50","ATP1B4",2,2
"51","ATP2B3",6,7
"52","ATP6AP1",1,1
"53","ATP6AP2",1,1
"54","ATP7A",5,5
"55","ATRX",17,18
"56","ATXN3L",2,2
"57","AWAT1",2,2
"58","AWAT2",2,2
"59","BCLAF3",3,4
"60","BCOR",8,10
"61","BCORL1",3,4
"62","BEND2",3,3
"63","BEX1",1,1
"64","BEX2",1,1
"65","BEX4",1,1
"66","BEX5",1,1
"67","BGN",1,1
"68","BMP15",2,2
"69","BMX",4,4
"70","BRS3",3,5
"71","BRWD3",5,6
"72","BTK",2,2
"73","C1GALT1C1",1,1
"74","CA5B",2,3
"75","CACNA1F",5,5
"76","CAPN6",3,3
"77","CASK",3,4
"78","CBLL2",1,1
"79","CCDC22",3,4
"80","CCNB3",4,4
"81","CD40LG",1,1
"82","CD99",1,1
"83","CDK16",1,1
"84","CDKL5",8,8
"85","CDR1",1,2
"86","CDX4",3,4
"87","CENPI",4,4
