"","Hugo_Symbol","n"
"1","ACTRT1",3
"2","ADGRG4",2
"3","AFF2",5
"4","AGTR2",1
"5","AKAP17A",2
"6","AKAP4",1
"7","AL133500.1",2
"8","AL353804.6",2
"9","AL353804.7",3
"10","AMELX",1
"11","AR",1
"12","ARAF",1
"13","ARHGAP4",2
"14","ARHGAP6",2
"15","ARMCX1",1
"16","ARMCX2",2
"17","ARMCX5-GPRASP2",2
"18","ARSF",1
"19","ARSH",1
"20","ARSL",1
"21","ASMT",1
"22","ASMTL",1
"23","ATP11C",2
"24","ATP2B3",1
"25","ATRX",18
"26","AVPR2",1
"27","BCOR",4
"28","BCORL1",2
"29","BMP15",1
"30","BRCC3",1
"31","BRWD3",2
"32","BTK",1
"33","C1GALT1C1",1
"34","CAPN6",1
"35","CD99L2",1
"36","CDX4",2
"37","CFAP47",7
"38","CFP",1
"39","CHM",1
"40","CHRDL1",1
"41","CITED1",1
"42","CLCN4",1
"43","COL4A5",1
"44","CRLF2",2
"45","CSF2RA",3
"46","CT55",1
"47","CXorf21",1
"48","CYBB",1
"49","DACH2",1
"50","DCAF12L1",2
"51","DCAF12L2",6
"52","DDX3X",1
"53","DGKK",1
"54","DIAPH2",1
"55","DMD",6
"56","EGFL6",1
"57","EIF2S3",2
"58","ELF4",3
"59","ERCC6L",1
"60","ESX1",1
"61","F8",1
"62","F9",3
"63","FAM133A",1
"64","FAM47A",5
"65","FAM47B",3
"66","FAM47C",3
"67","FANCB",1
"68","FGD1",1
"69","FGF13",1
"70","FLNA",5
"71","FMR1NB",1
"72","FOXR2",3
"73","FRMD7",5
"74","FRMPD3",1
"75","FRMPD4",1
"76","FTHL17",1
"77","FTSJ1",1
"78","GABRA3",2
"79","GABRE",4
"80","GABRQ",1
"81","GATA1",1
"82","GCNA",1
"83","GDPD2",1
"84","GLRA4",1
"85","GLUD2",2
"86","GPC3",1
"87","GPR174",1
"88","GPR34",1
"89","GPR50",1
"90","GRIA3",2
"91","GRPR",1
"92","GTPBP6",2
