"","Hugo_Symbol","n_pts","n_tumor_samples"
"1","A1CF",4,6
"2","A2M",3,4
"3","A2ML1",2,2
"4","A4GALT",2,2
"5","A4GNT",2,2
"6","AAAS",1,1
"7","AACS",2,3
"8","AADAC",1,1
"9","AADACL2",2,2
"10","AADACL3",1,1
"11","AADACL4",1,1
"12","AADAT",2,2
"13","AAK1",1,1
"14","AAMP",1,1
"15","AANAT",1,1
"16","AAR2",1,1
"17","AARS1",1,1
"18","AARS2",1,1
"19","AASDH",3,3
"20","AASDHPPT",2,2
"21","AASS",2,2
"22","AATF",2,2
"23","AATK",2,2
"24","ABAT",1,1
"25","ABCA1",3,3
"26","ABCA10",2,2
"27","ABCA12",4,4
"28","ABCA13",4,4
"29","ABCA2",2,2
"30","ABCA3",3,3
"31","ABCA4",4,4
"32","ABCA5",2,2
"33","ABCA6",4,4
"34","ABCA7",5,5
"35","ABCA8",2,2
"36","ABCA9",3,3
"37","ABCB1",5,6
"38","ABCB10",1,1
"39","ABCB11",4,4
"40","ABCB4",6,8
"41","ABCB5",3,3
"42","ABCB6",1,1
"43","ABCB7",2,2
"44","ABCB8",3,4
"45","ABCB9",1,1
"46","ABCC1",3,3
"47","ABCC10",5,5
"48","ABCC11",3,3
"49","ABCC12",3,3
"50","ABCC2",3,3
"51","ABCC3",2,2
"52","ABCC4",6,7
"53","ABCC5",6,9
"54","ABCC6",2,2
"55","ABCC8",3,3
"56","ABCC9",9,11
"57","ABCD1",4,4
"58","ABCD2",3,3
"59","ABCD3",2,2
"60","ABCD4",1,1
"61","ABCE1",2,2
"62","ABCF1",1,1
"63","ABCF3",1,1
"64","ABCG1",3,3
"65","ABCG2",5,5
"66","ABCG4",4,5
"67","ABCG5",1,1
"68","ABCG8",3,3
"69","ABHD1",1,1
"70","ABHD10",2,2
"71","ABHD11",3,3
"72","ABHD12",1,1
"73","ABHD14A-ACY1",2,2
"74","ABHD15",1,1
"75","ABHD16A",2,2
"76","ABHD17B",1,1
"77","ABHD2",1,1
"78","ABHD3",1,1
"79","ABHD4",1,1
"80","ABHD6",1,1
"81","ABHD8",2,2
"82","ABI1",1,1
"83","ABI2",3,3
"84","ABI3",1,1
"85","ABI3BP",1,1
"86","ABITRAM",1,1
"87","ABL1",1,1
"88","ABL2",2,2
"89","ABLIM1",1,1
"90","ABLIM3",3,3
"91","ABO",2,2
"92","ABR",2,2
"93","ABRA",2,2
"94","ABRAXAS2",3,3
"95","ABTB1",2,2
"96","ABTB2",1,1
"97","AC004593.2",4,4
"98","AC004922.1",1,1
"99","AC004997.1",1,1
"100","AC005863.1",1,2
"101","AC006059.2",3,3
"102","AC007040.2",1,1
"103","AC008397.2",3,3
"104","AC008764.4",1,1
"105","AC011455.2",1,1
"106","AC011462.1",1,1
"107","AC013477.1",1,1
"108","AC016747.4",1,1
"109","AC023055.1",2,2
"110","AC024940.1",2,2
"111","AC025165.3",1,1
"112","AC068580.4",1,1
"113","AC073310.1",1,1
"114","AC090517.4",1,1
"115","AC092143.1",2,2
"116","AC092718.9",3,3
"117","AC093246.1",1,1
"118","AC093525.2",1,2
"119","AC098582.1",1,1
"120","AC109583.1",1,1
"121","AC126283.2",2,2
"122","AC127029.3",2,2
"123","AC131160.1",1,1
"124","AC132217.2",2,2
"125","AC134980.2",1,1
"126","AC139530.2",1,1
"127","AC242842.3",1,1
"128","AC244258.1",1,1
"129","AC245748.1",1,1
"130","ACAA1",1,1
"131","ACAA2",1,1
"132","ACACA",6,9
"133","ACACB",4,5
"134","ACAD10",3,4
"135","ACAD11",2,2
"136","ACAD8",1,1
"137","ACAD9",2,2
"138","ACADL",2,2
"139","ACADM",2,2
"140","ACADS",1,1
"141","ACADSB",1,1
"142","ACADVL",1,1
"143","ACAN",6,8
"144","ACAP1",3,4
"145","ACAP2",2,2
"146","ACAT2",1,1
"147","ACBD4",1,1
"148","ACBD5",1,1
"149","ACCS",2,2
"150","ACCSL",3,3
"151","ACE",4,4
"152","ACE2",3,4
"153","ACER1",2,2
"154","ACER2",1,1
"155","ACER3",1,1
"156","ACHE",2,2
"157","ACIN1",2,2
"158","ACKR1",1,2
"159","ACKR2",2,2
"160","ACKR3",1,1
"161","ACKR4",1,1
"162","ACLY",1,1
"163","ACMSD",2,2
"164","ACO1",2,2
"165","ACO2",1,2
"166","ACOT11",1,1
"167","ACOT12",2,2
"168","ACOT4",1,1
"169","ACOT6",1,1
"170","ACOT8",1,1
"171","ACOT9",2,2
"172","ACOX3",2,2
"173","ACOXL",2,2
"174","ACP2",1,1
"175","ACP3",2,2
"176","ACP4",2,2
"177","ACP5",1,1
"178","ACP6",2,2
"179","ACP7",2,2
"180","ACRBP",1,1
"181","ACRV1",1,1
"182","ACSBG1",2,2
"183","ACSBG2",1,1
"184","ACSF2",1,1
"185","ACSF3",1,1
"186","ACSL1",1,1
"187","ACSL3",2,2
"188","ACSL4",4,5
"189","ACSL5",1,1
"190","ACSL6",1,1
"191","ACSM1",2,2
"192","ACSM2A",2,2
"193","ACSM2B",3,4
"194","ACSM3",2,2
"195","ACSM4",4,5
"196","ACSM5",2,2
"197","ACSS2",1,1
"198","ACSS3",2,2
"199","ACTA1",1,1
"200","ACTA2",2,2
"201","ACTBL2",2,2
"202","ACTG1",1,1
"203","ACTL10",1,1
"204","ACTL6A",1,1
"205","ACTL6B",1,1
"206","ACTL7A",1,1
"207","ACTL7B",4,4
"208","ACTL8",2,3
"209","ACTL9",2,3
"210","ACTN1",4,5
"211","ACTN2",3,4
"212","ACTN3",1,1
"213","ACTN4",1,1
"214","ACTR10",1,1
"215","ACTR1B",1,1
"216","ACTR3",1,1
"217","ACTR5",1,1
"218","ACTR8",3,4
"219","ACTRT1",3,3
"220","ACTRT2",1,1
