"","Hugo_Symbol","n"
"1","A1BG",2
"2","A1CF",2
"3","A2M",1
"4","A3GALT2",1
"5","A4GALT",1
"6","AAAS",2
"7","AACS",2
"8","AADAC",1
"9","AADACL2",1
"10","AADACL3",3
"11","AADACL4",4
"12","AAMDC",1
"13","AAMP",1
"14","AANAT",1
"15","AARS1",1
"16","AARS2",2
"17","AASDH",1
"18","AASS",1
"19","ABAT",1
"20","ABCA1",4
"21","ABCA10",2
"22","ABCA12",1
"23","ABCA13",7
"24","ABCA2",2
"25","ABCA4",4
"26","ABCA5",4
"27","ABCA6",2
"28","ABCA8",4
"29","ABCA9",3
"30","ABCB1",3
"31","ABCB10",1
"32","ABCB11",3
"33","ABCB4",7
"34","ABCB5",3
"35","ABCB6",2
"36","ABCB8",1
"37","ABCC1",2
"38","ABCC10",2
"39","ABCC11",2
"40","ABCC12",1
"41","ABCC3",3
"42","ABCC4",1
"43","ABCC5",3
"44","ABCC6",1
"45","ABCC8",4
"46","ABCC9",5
"47","ABCD2",2
"48","ABCD3",1
"49","ABCF1",2
"50","ABCF2",2
"51","ABCF3",2
"52","ABCG1",2
"53","ABCG2",2
"54","ABCG4",1
"55","ABCG5",3
"56","ABHD10",1
"57","ABHD16B",1
"58","ABHD17B",1
"59","ABHD5",1
"60","ABHD8",1
"61","ABI2",3
"62","ABI3",4
"63","ABI3BP",1
"64","ABL1",1
"65","ABL2",3
"66","ABLIM3",3
"67","ABR",2
"68","ABRAXAS1",1
"69","ABTB1",1
"70","AC004593.2",2
"71","AC004922.1",1
"72","AC008397.2",3
"73","AC011448.1",1
"74","AC011455.2",2
"75","AC011462.1",3
"76","AC013489.1",1
"77","AC024598.1",1
"78","AC024940.1",1
"79","AC068580.4",1
"80","AC073310.1",3
"81","AC090517.4",1
"82","AC092718.9",2
"83","AC097636.1",1
"84","AC104452.1",2
"85","AC109583.1",1
"86","AC126283.2",2
"87","AC134980.2",1
"88","AC242842.3",1
"89","AC245884.12",1
"90","ACAA1",1
"91","ACACA",4
"92","ACACB",5
"93","ACAD10",2
"94","ACAD11",1
"95","ACADS",4
"96","ACADSB",1
"97","ACADVL",1
"98","ACAN",2
"99","ACAP2",2
"100","ACBD3",2
"101","ACCS",1
"102","ACE",4
"103","ACER2",1
"104","ACKR2",1
"105","ACOT11",1
"106","ACOT12",1
"107","ACOT2",1
"108","ACOT4",3
"109","ACOT8",1
"110","ACOX1",1
"111","ACOX2",3
"112","ACOX3",1
"113","ACOXL",1
"114","ACP3",1
"115","ACP4",1
"116","ACP7",3
"117","ACR",1
"118","ACRV1",1
"119","ACSBG2",1
"120","ACSF2",1
"121","ACSL1",1
"122","ACSL3",1
"123","ACSM1",1
"124","ACSM2A",2
"125","ACSM2B",2
"126","ACSM4",1
"127","ACSS3",1
"128","ACTA2",2
"129","ACTBL2",1
"130","ACTC1",1
"131","ACTG2",2
"132","ACTL6B",2
"133","ACTL7A",1
"134","ACTL9",2
"135","ACTN1",1
"136","ACTN4",3
"137","ACTR3",1
"138","ACTR3B",1
"139","ACTR5",1
"140","ACTR6",1
"141","ACTRT1",3
"142","ACTRT2",1
"143","ACVR1",2
"144","ACVR2A",1
"145","ACVR2B",1
"146","ACVRL1",3
"147","ACY3",1
"148","ACYP1",2
"149","ADA",1
"150","ADAD1",1
"151","ADAL",1
"152","ADAM10",1
"153","ADAM12",1
"154","ADAM15",1
"155","ADAM2",1
"156","ADAM20",1
"157","ADAM22",2
"158","ADAM23",10
"159","ADAM28",1
"160","ADAM29",12
"161","ADAM30",2
"162","ADAM32",1
"163","ADAM7",3
"164","ADAM9",1
"165","ADAMDEC1",2
"166","ADAMTS1",1
"167","ADAMTS10",3
"168","ADAMTS12",8
"169","ADAMTS13",1
"170","ADAMTS14",2
"171","ADAMTS15",1
"172","ADAMTS16",6
"173","ADAMTS17",2
"174","ADAMTS18",3
"175","ADAMTS19",4
"176","ADAMTS2",2
"177","ADAMTS20",4
"178","ADAMTS3",3
"179","ADAMTS4",1
"180","ADAMTS5",1
"181","ADAMTS6",3
"182","ADAMTS7",2
"183","ADAMTS8",1
"184","ADAMTS9",2
"185","ADAMTSL1",4
"186","ADAMTSL2",1
"187","ADAMTSL3",3
"188","ADAMTSL5",2
"189","ADARB2",3
"190","ADAT2",1
"191","ADAT3",1
"192","ADCK1",2
"193","ADCK2",1
"194","ADCY1",4
"195","ADCY10",2
"196","ADCY2",2
"197","ADCY3",1
"198","ADCY4",1
"199","ADCY5",5
"200","ADCY7",1
"201","ADCY9",2
"202","ADCYAP1",1
"203","ADD2",4
"204","ADGRA1",1
"205","ADGRA2",4
"206","ADGRA3",1
"207","ADGRB1",2
"208","ADGRB2",1
"209","ADGRB3",1
"210","ADGRD1",5
"211","ADGRE1",1
"212","ADGRE2",1
"213","ADGRE3",1
"214","ADGRE5",1
"215","ADGRF3",1
"216","ADGRF4",4
"217","ADGRF5",6
"218","ADGRG4",2
"219","ADGRG6",1
"220","ADGRG7",2
"221","ADGRL1",1
"222","ADGRL2",3
"223","ADGRL4",5
"224","ADGRV1",8
"225","ADH1A",1
"226","ADH1B",1
"227","ADH5",1
"228","ADH7",1
"229","ADM",1
"230","ADM2",1
"231","ADNP",2
"232","ADNP2",1
"233","ADPRS",1
"234","ADRA1B",1
"235","ADRA1D",1
"236","ADRA2B",1
"237","ADRA2C",2
"238","ADRM1",1
"239","ADSS1",1
"240","AEBP1",2
"241","AFAP1L1",1
"242","AFDN",1
"243","AFF2",5
"244","AFF3",2
"245","AFM",3
"246","AFMID",1
"247","AFP",1
"248","AGAP1",3
"249","AGAP3",2
"250","AGAP7P",1
"251","AGER",1
"252","AGFG2",1
"253","AGL",1
"254","AGMO",2
"255","AGO2",1
"256","AGO3",1
"257","AGPAT1",3
"258","AGPAT3",1
"259","AGPAT4",2
"260","AGPS",1
"261","AGR2",1
"262","AGTPBP1",1
"263","AGTR2",1
"264","AGXT",2
"265","AHCTF1",1
"266","AHCY",1
"267","AHCYL2",2
"268","AHI1",1
"269","AHNAK",12
"270","AHNAK2",10
"271","AHR",1
"272","AHRR",2
"273","AHSA1",1
"274","AHSG",1
"275","AIDA",1
"276","AIM2",2
"277","AIPL1",1
"278","AJUBA",1
"279","AK1",1
"280","AK5",1
"281","AK7",2
"282","AK9",1
"283","AKAP1",1
"284","AKAP10",1
"285","AKAP11",2
"286","AKAP13",3
"287","AKAP17A",2
"288","AKAP4",1
"289","AKAP5",1
"290","AKAP6",2
"291","AKAP8",1
"292","AKAP9",2
"293","AKNA",2
"294","AKR1A1",1
"295","AKR1B10",1
"296","AKR1B15",1
"297","AKR1C1",1
"298","AKR1C4",2
"299","AKT1",1
"300","AL035461.3",1
"301","AL109984.1",2
"302","AL121899.2",1
"303","AL133500.1",2
"304","AL136295.1",1
"305","AL162417.1",1
"306","AL163540.1",1
"307","AL353804.6",2
"308","AL353804.7",3
"309","AL592490.1",3
"310","AL645922.1",1
"311","AL669918.1",1
"312","ALAS1",1
"313","ALCAM",1
"314","ALDH18A1",1
"315","ALDH1A3",4
"316","ALDH1L1",3
"317","ALDH1L2",1
"318","ALDH2",1
"319","ALDH3A1",1
"320","ALDH3A2",2
"321","ALDH5A1",1
"322","ALDH6A1",2
"323","ALDOA",2
"324","ALG10B",1
"325","ALG12",1
"326","ALK",1
"327","ALKAL1",1
"328","ALLC",2
"329","ALMS1",2
"330","ALMS1P1",2
"331","ALOX12B",1
"332","ALOX15",1
"333","ALOX15B",3
"334","ALPG",4
"335","ALPK2",5
"336","ALPK3",3
"337","ALPP",1
"338","ALS2",1
"339","ALX1",2
"340","ALX4",2
"341","AMBN",2
"342","AMD1",2
"343","AMDHD1",3
"344","AMDHD2",1
"345","AMELX",1
"346","AMER3",5
"347","AMHR2",3
"348","AMIGO2",1
"349","AMIGO3",1
"350","AMOTL2",1
"351","AMPD1",2
"352","AMPD2",1
"353","AMPD3",1
"354","AMPH",2
"355","AMT",1
"356","AMY2A",1
"357","AMY2B",3
"358","AMZ1",1
"359","ANAPC4",2
"360","ANG",1
"361","ANGEL2",1
"362","ANGPT1",2
"363","ANGPT2",2
"364","ANGPT4",2
"365","ANGPTL1",2
"366","ANGPTL2",1
"367","ANGPTL7",1
"368","ANK1",6
"369","ANK2",5
